"2005/Jan";829
"2005/Fev";1020
"2005/Mar";1667
"2005/Abr";2176
"2005/Mai";2501
"2005/Jun";1814
"2005/Jul";2486
"2005/Ago";2163
"2005/Set";2057
"2005/Out";2902
"2005/Nov";1873
"2005/Dez";1526
"2006/Jan";2337
"2006/Fev";2409
"2006/Mar";3485
"2006/Abr";1877
"2006/Mai";1826
"2006/Jun";1747
"2006/Jul";2941
"2006/Ago";3749
"2006/Set";1752
"2006/Out";2085
"2006/Nov";2396
"2006/Dez";1475
"2007/Jan";1796
"2007/Fev";1949
"2007/Mar";3005
"2007/Abr";2279
"2007/Mai";4210
"2007/Jun";3986
"2007/Jul";3844
"2007/Ago";3226
"2007/Set";2624
"2007/Out";3818
"2007/Nov";4406
"2007/Dez";3688
"2008/Jan";2249
"2008/Fev";2056
"2008/Mar";2017
"2008/Abr";1965
"2008/Mai";2704
"2008/Jun";3008
"2008/Jul";6071
"2008/Ago";4157
"2008/Set";3430
"2008/Out";3040
"2008/Nov";2629
"2008/Dez";2195
"2009/Jan";3164
"2009/Fev";3121
"2009/Mar";4113
"2009/Abr";3003
"2009/Mai";4186
"2009/Jun";3115
"2009/Jul";4278
"2009/Ago";4441
"2009/Set";4479
"2009/Out";3392
"2009/Nov";2653
"2009/Dez";1789
"2010/Jan";2663
"2010/Fev";2421
"2010/Mar";3504
"2010/Abr";2254
"2010/Mai";2248
"2010/Jun";1850
"2010/Jul";2248
"2010/Ago";3096
"2010/Set";2526
"2010/Out";1764
"2010/Nov";1980
"2010/Dez";1363
